iter	Quantile:alpha=0.9
0	14.36862301
1	13.75413344
2	13.19955192
3	12.68948158
4	12.22418938
5	11.76829541
6	11.35176904
7	10.97488686
8	10.63232899
9	10.30936769
10	10.01467709
11	9.73460705
12	9.49056163
13	9.246196642
14	9.014313259
15	8.798966332
16	8.59260612
17	8.405466518
18	8.23533165
19	8.080509354
20	7.920626011
21	7.776102631
22	7.625199306
23	7.479636564
24	7.353458542
25	7.235414806
26	7.103087131
27	6.967070681
28	6.874415327
29	6.762756452
30	6.662275854
31	6.565848682
32	6.476946895
33	6.39414249
34	6.315989325
35	6.222663297
36	6.14977522
37	6.074150249
38	6.001174066
39	5.941591962
40	5.883403306
41	5.827810987
42	5.756260432
43	5.707558986
44	5.658435655
45	5.617255679
46	5.574720223
47	5.531130105
48	5.495525179
49	5.464037029
50	5.429669267
51	5.399730227
52	5.368958696
53	5.324437926
54	5.29976514
55	5.271843515
56	5.24543759
57	5.221710313
58	5.181793275
59	5.159518125
60	5.143001519
61	5.110248084
62	5.079325193
63	5.063712904
64	5.037778824
65	5.011451666
66	4.994563035
67	4.981672525
68	4.965754919
69	4.949757394
70	4.919724722
71	4.891836956
72	4.87696651
73	4.856369776
74	4.840376215
75	4.828601729
76	4.805995665
77	4.790500827
78	4.768018232
79	4.753452812
80	4.740041451
81	4.72685126
82	4.708885011
83	4.698450657
84	4.67920594
85	4.664517258
86	4.647562678
87	4.631506738
88	4.617263956
89	4.604095828
90	4.585967257
91	4.576325493
92	4.567688695
93	4.558610714
94	4.543696802
95	4.532443164
96	4.520438427
97	4.512445263
98	4.496127657
99	4.487849046
100	4.474180409
101	4.462654951
102	4.454723508
103	4.445480787
104	4.434901786
105	4.422224275
106	4.412414587
107	4.401078662
108	4.394184799
109	4.386078644
110	4.377373385
111	4.367983965
112	4.359659602
113	4.351144789
114	4.34086697
115	4.33420958
116	4.324803739
117	4.319324946
118	4.308615265
119	4.304114232
120	4.297227572
121	4.288436233
122	4.278487886
123	4.270014234
124	4.260617458
125	4.252458297
126	4.245719668
127	4.236111814
128	4.227875179
129	4.219385546
130	4.209587928
131	4.205333051
132	4.198163723
133	4.192748588
134	4.187601193
135	4.17840173
136	4.170609936
137	4.165201028
138	4.156029971
139	4.147918281
140	4.142781875
141	4.137467737
142	4.131779927
143	4.124255466
144	4.117333684
145	4.108218336
146	4.097977957
147	4.089901075
148	4.082090151
149	4.075028943
150	4.071088567
151	4.062516666
152	4.051663144
153	4.044549463
154	4.039489178
155	4.034789055
156	4.027476745
157	4.021957918
158	4.017234242
159	4.012238032
160	4.002995759
161	3.999252936
162	3.991457086
163	3.986381816
164	3.980278924
165	3.973569354
166	3.969151782
167	3.965182329
168	3.957649863
169	3.953124287
170	3.947252992
171	3.942041953
172	3.93902431
173	3.936289015
174	3.931040931
175	3.926897441
176	3.921349086
177	3.915070634
178	3.910602438
179	3.903449401
180	3.900547159
181	3.896195521
182	3.891143402
183	3.887362759
184	3.878731107
185	3.874169283
186	3.869506099
187	3.863804702
188	3.858825718
189	3.855647182
190	3.850145763
191	3.844277057
192	3.841244513
193	3.838080854
194	3.832380856
195	3.827083356
196	3.823367392
197	3.81689411
198	3.812554555
199	3.808114197
200	3.805600461
201	3.801789169
202	3.796390592
203	3.790538164
204	3.786682621
205	3.783068697
206	3.777667371
207	3.771558194
208	3.767062088
209	3.763183399
210	3.760441005
211	3.753901519
212	3.74956655
213	3.744871496
214	3.739236486
215	3.733071168
216	3.730126828
217	3.726720456
218	3.721550803
219	3.71791221
220	3.713385428
221	3.710194977
222	3.705977083
223	3.702039247
224	3.698090491
225	3.694815079
226	3.690412216
227	3.687459665
228	3.685856864
229	3.682476134
230	3.679184011
231	3.673082098
232	3.667114307
233	3.662988852
234	3.659574242
235	3.655802821
236	3.650649559
237	3.646826026
238	3.643868314
239	3.640780529
240	3.637611304
241	3.633232212
242	3.628639818
243	3.625731055
244	3.622726793
245	3.619388645
246	3.61431246
247	3.610677636
248	3.607318257
249	3.603858754
250	3.599970603
251	3.597761002
252	3.594506483
253	3.592081703
254	3.588579067
255	3.58444874
256	3.581774614
257	3.578941051
258	3.573979304
259	3.571037118
260	3.567552201
261	3.563473165
262	3.560273306
263	3.558494397
264	3.554742453
265	3.551836047
266	3.549663089
267	3.5475671
268	3.544676963
269	3.542587453
270	3.539754505
271	3.53819214
272	3.535818893
273	3.532913146
274	3.528375163
275	3.525558549
276	3.522354244
277	3.519984771
278	3.517380488
279	3.514692051
280	3.513485387
281	3.510067748
282	3.508015278
283	3.505166042
284	3.502110206
285	3.499907952
286	3.497553273
287	3.495157774
288	3.490750648
289	3.488966422
290	3.486913748
291	3.484340209
292	3.482388765
293	3.479978714
294	3.477667879
295	3.476042192
296	3.47398373
297	3.471866283
298	3.468695495
299	3.465473485
300	3.463063327
301	3.462227232
302	3.460188372
303	3.458229873
304	3.454520709
305	3.452337516
306	3.45094653
307	3.447364964
308	3.445210221
309	3.442488264
310	3.440348274
311	3.438253189
312	3.435278245
313	3.432966638
314	3.431646056
315	3.428366204
316	3.427497501
317	3.425124422
318	3.422538416
319	3.419700574
320	3.416337544
321	3.412442364
322	3.411669005
323	3.410242068
