iter	Passed	Remaining
0	171	137211
1	344	137626
2	487	129518
3	643	128091
4	769	122310
5	889	117760
6	1008	114218
7	1115	110471
8	1277	112292
9	1468	116010
10	1692	121402
11	1852	121626
12	2046	123880
13	2217	124504
14	2401	125665
15	2581	126474
16	2752	126755
17	2892	125665
18	3007	123616
19	3131	122133
20	3264	121111
21	3407	120514
22	3546	119814
23	3683	119114
24	3883	120400
25	4080	121475
26	4272	122320
27	4479	123510
28	4679	124422
29	4812	123532
30	4996	123950
31	5159	123818
32	5277	122664
33	5396	121585
34	5539	121084
35	5696	120886
36	5815	119917
37	6043	121195
38	6238	121723
39	6349	120647
40	6555	121360
41	6673	120433
42	6805	119816
43	6918	118865
44	7086	118892
45	7259	118990
46	7416	118824
47	7560	118445
48	7692	117906
49	7815	117234
50	7999	117477
51	8173	117568
52	8344	117612
53	8473	117058
54	8579	116215
55	8744	116177
56	8917	116236
57	9036	115602
58	9181	115313
59	9318	114923
60	9456	114565
61	9589	114141
62	9749	114055
63	9923	114122
64	10116	114394
65	10280	114327
66	10406	113850
67	10550	113569
68	10735	113737
69	10939	114084
70	11062	113582
71	11174	112987
72	11303	112566
73	11470	112537
74	11618	112307
75	11745	111895
76	11883	111583
77	12072	111752
78	12268	111972
79	12476	112286
80	12687	112617
81	12897	112933
82	13095	113122
83	13256	112991
84	13487	113457
85	13731	114003
86	13918	114069
87	14071	113854
88	14181	113295
89	14343	113157
90	14484	112851
91	14680	112975
92	14796	112486
93	14912	112005
94	15057	111740
95	15199	111461
96	15368	111385
97	15610	111822
98	15756	111569
99	15875	111127
100	16062	111163
101	16209	110926
102	16349	110636
103	16488	110344
104	16637	110125
105	16805	110030
106	16954	109810
107	17101	109578
108	17260	109422
109	17413	109227
110	17579	109117
111	17699	108728
112	17876	108685
113	18008	108368
114	18237	108630
115	18412	108572
116	18539	108226
117	18702	108091
118	18834	107782
119	19002	107681
120	19159	107515
121	19356	107572
122	19534	107520
123	19670	107234
124	19785	106840
125	19927	106597
126	20057	106290
127	20187	105986
128	20311	105651
129	20512	105719
130	20634	105378
131	20774	105131
132	20919	104914
133	21028	104515
134	21141	104143
135	21252	103763
136	21377	103456
137	21537	103317
138	21661	103008
139	21801	102776
140	21947	102577
141	22131	102552
142	22262	102284
143	22418	102130
144	22544	101836
145	22724	101791
146	22876	101620
147	22995	101302
148	23094	100902
149	23204	100551
150	23361	100406
151	23518	100264
152	23635	99948
153	23784	99770
154	23927	99568
155	24134	99632
156	24370	99810
157	24541	99718
158	24719	99655
159	24862	99449
160	24991	99189
161	25116	98915
162	25242	98647
163	25381	98428
164	25539	98288
165	25653	97978
166	25785	97739
167	25935	97568
168	26125	97543
169	26267	97342
170	26422	97191
171	26579	97047
172	26756	96971
173	26932	96893
174	27104	96801
175	27237	96569
176	27354	96280
177	27485	96045
178	27617	95810
179	27732	95522
180	27855	95263
181	28031	95183
182	28148	94905
183	28278	94669
184	28421	94483
185	28580	94347
186	28713	94123
187	28910	94113
188	29113	94119
189	29294	94051
190	29513	94101
191	29708	94077
192	29931	94136
193	30126	94105
194	30341	94136
195	30562	94182
196	30781	94220
197	30971	94166
198	31182	94173
199	31443	94330
200	31587	94133
201	31702	93851
202	31895	93800
203	32068	93691
204	32289	93717
205	32525	93787
206	32754	93832
207	32950	93781
208	33154	93752
209	33353	93707
210	33557	93675
211	33772	93672
212	33979	93644
213	34198	93646
214	34394	93584
215	34604	93559
216	34820	93550
217	35010	93469
218	35246	93506
219	35440	93434
220	35690	93506
221	35924	93532
222	36147	93529
223	36344	93456
224	36516	93320
225	36717	93256
226	36932	93227
227	37146	93190
228	37361	93158
229	37551	93063
230	37735	92949
231	37950	92913
232	38199	92956
233	38328	92708
234	38488	92535
235	38640	92344
236	38812	92201
237	38960	91999
238	39143	91879
239	39282	91659
240	39424	91445
241	39597	91303
242	39723	91054
243	39839	90781
244	39971	90547
245	40155	90432
246	40356	90353
247	40527	90206
248	40725	90120
249	40919	90023
250	41137	89977
251	41404	90038
252	41603	89948
253	41839	89939
254	41994	89753
255	42127	89521
256	42293	89360
257	42437	89152
258	42611	89006
259	42738	88765
260	42861	88515
261	42986	88270
262	43099	88001
263	43230	87771
264	43358	87534
265	43520	87368
266	43731	87299
267	43878	87101
268	44038	86931
269	44255	86871
270	44455	86778
271	44593	86564
272	44772	86429
273	44905	86206
274	45063	86030
275	45240	85890
276	45399	85717
277	45543	85517
278	45689	85319
279	45806	85068
280	45938	84848
281	46084	84651
282	46235	84465
283	46399	84303
284	46557	84129
285	46713	83953
286	46961	83941
287	47136	83797
288	47363	83746
289	47543	83610
290	47682	83403
291	47842	83232
292	48019	83091
293	48192	82942
294	48424	82896
295	48604	82759
296	48730	82530
297	48848	82288
298	49019	82136
299	49174	81957
300	49357	81825
301	49505	81634
302	49697	81516
303	49849	81333
304	50022	81184
305	50183	81015
306	50343	80844
307	50504	80675
308	50723	80598
309	50878	80420
310	51043	80258
311	51234	80135
312	51360	79911
313	51494	79701
314	51691	79587
315	51844	79407
316	52052	79310
317	52196	79115
318	52325	78898
319	52470	78705
320	52610	78506
321	52790	78365
322	52941	78182
323	53165	78107
324	53320	77930
325	53529	77830
326	53766	77771
327	53939	77620
328	54166	77545
329	54346	77402
330	54554	77299
331	54746	77172
332	54968	77087
333	55136	76926
334	55299	76759
335	55521	76672
336	55734	76573
337	55962	76493
338	56158	76368
339	56378	76277
340	56579	76158
341	56771	76027
342	56948	75876
343	57122	75720
344	57269	75529
345	57444	75375
346	57568	75154
347	57725	74976
348	57897	74818
349	58097	74696
